JYCSM-WB-014	Liza Computer Training Center.	Falguni Das.	Parbatipur,721658	Purba Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-015	Abacus Computer Training Centre	Nishit Ranjan Das	Contai,721401	Purba Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-016	GSN Computer Academy	Anindita Mahapatra Samanta	Ghasipur,Mahishadal,721628	Purba Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-017	Jatiya Yuva Computer Shaksharata Mission,Helencha	Md Shaharuk Biswas	Helencha, Bagdah,743270	North 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-018	App Tech	Subrato Baital	Sarada palli,712123	Hooghly	West Bengal	All Type Of Computer Courses
JYCSM-WB-019	Jatiya Yuva Computer Center,Soulan	Atanu Dasthakur	Soulan,Hat Sarberia, Near ICDS School,721146	Paschim Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-020	Halisahar Jatiya Yuva Computer Training Centre	Jayanta Sur	Halisahar,Jetia Bazar,743135	North 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-BR-021	BYTE-Computer Learning Centre	Shubham Kumar	Malakar House Suryapura, Near Suryapura Bikrampur Pul, Bhagwanpur 851120.	Begusarai	Bihar	All Type Of Computer Courses
JYCSM-WB-022	Jatiya Yuva Computer Shaksharta Mission Ranaghat	Chiranjib Adhikary	Ranaghat,Chabi Gate,Durgadas park.741201	Nadia	West Bengal	All Type Of Computer Courses
JYCSM-WB-023	Anwesha Foundation	Ripon Khan	Nahata,Gopalnagar,743290	North 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-024	DG Computer	Arghya Das Gupta	Shyamnagar	North 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-025	IT Computer Academy	Siddheswar Roy & Sarmila Roy	Deorah,Sosati,Shyampur,711312	Howrah	West Bengal	All Type Of Computer Courses
JYCSM-WB-026	Jatiya Yuva Computer Shaksharata Mission, Mohana Hat	Monjurul Mondal	Chak Bhagaban,Mahipur,Kumarganj,733141	Dakshin Dinajpur	West Bengal	All Type Of Computer Courses
JYCSM-WB-027	Barabazar Jatiya Yuva Computer Traning Centre	Soma Mahanty	Nilmohanpur,Barabazar,Barabhum,Barabazar,723127	Purulia	West Bengal	All Type Of Computer Courses
JYCSM-WB-028	Golghar Success Computer Institute	Priyanka Das & Sudeshna Paul	Jagatdal,743125	North 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-029	Vidyasagar Modern Computer Technical Institute	Sridam Bhukta	Khukurdaha,721641	Paschim Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-030	Jatiya Yuva Computer Center,Dakshin Durgapur	Kripasindhu Purkait	Dakshin Durgapur,Kultali,743349	South 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-031	Jatiya Yuva Computer Training Center,Daulat Nagar	Manoj Mandal	Daulat Nagar,Harishchandrapur,732125	Malda	West Bengal	All Type Of Computer Courses
JYCSM-WB-032	Apex Computer Academy	Purnendu Das	Garia,Abantipur,700152	South 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-WB-033	Anuska Digital Hub	Supravat Mandal	Shyamnager,Fulberia,Near Shyamnager Bus Stand, 721127	Paschim Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-034	Naihati Jatiya Yuva Computer Training Center	Samiran Paul	1B,Bijaynagar(Near Balai Bag),Naihati,743165	North 24 Parganas	West Bengal	All Type Of Computer Courses
JYCSM-ML-035	Technohut Computer Education	Sobiyal Hoque	Bhangarpar,Paham,794104	West Garo Hills	Meghalaya	All Type Of Computer Courses
JYCSM-WB-036	Sahitya Computer	Md. A. H. Mondal	Nagarukhra 22 no. Bus Stand.741257	Nadia	West Bengal	All Type Of Computer Courses
JYCSM-WB-037	Jatiya Yuva Computer Shaksharta Mission Tarangapur	Smita Deb Sharma	Tarangapur,Kaliaganj,733129	Uttar Dinajpur	West Bengal	All Type Of Computer Courses
JYCSM-WB-038	Karmakar Computer Training Centre	Sandip Karmakar	Ghatal,Konnagar,ShashthiTala ,near Ananda Marga Primary School,721212	Paschim Medinipur	West Bengal	All Type Of Computer Courses
JYCSM-WB-039	Jatiya Yuva Computer Shaksharata Mission,Pandaveswar	Abhijit Bauri	Kendra,713346	Paschim Bardhaman	West Bengal	All Type Of Computer Courses
JYCSM-WB-040	Jatiya Yuva Computer Shaksharata Mission,Sutia Bazar	Timir Majumdar & Suman Debnath	Sutia Bazar, 743273	North 24 Parganas	West Bengal	All Type Of Computer Courses
